iter	Logloss
0	0.6773597296
1	0.6600352642
2	0.6438066023
3	0.6289045321
4	0.6152667772
5	0.6039280077
6	0.5931906934
7	0.5835824974
8	0.5749901222
9	0.5674513536
10	0.5604425824
11	0.5529789244
12	0.5469460698
13	0.5402607078
14	0.5347181985
15	0.5297826475
16	0.5244842745
17	0.5202817781
18	0.5159790617
19	0.5117426808
20	0.5083057132
21	0.5051090685
22	0.501957204
23	0.4983016878
24	0.4953127551
25	0.4929702895
26	0.4906024425
27	0.4886378303
28	0.4862526874
29	0.4840408122
30	0.4823011563
31	0.4803406049
32	0.4785499292
33	0.4767641832
34	0.475109822
35	0.4735412118
36	0.4722993567
37	0.4705129248
38	0.4691659222
39	0.4679930988
40	0.4668688743
41	0.4657509838
42	0.464418409
43	0.4634032282
44	0.4626886796
45	0.4616299132
46	0.4606790473
47	0.4597232112
48	0.4587251205
49	0.4579637767
50	0.4571149777
51	0.4563703274
52	0.4555851203
53	0.4549016313
54	0.4542023827
55	0.453625328
56	0.4529897776
57	0.4523658702
58	0.4517625983
59	0.4511742231
60	0.4505124403
61	0.4499270778
62	0.4494060478
63	0.4487057269
64	0.4479985828
65	0.4475752529
66	0.4469446805
67	0.4463908888
68	0.445881503
69	0.4453336009
70	0.4448707189
71	0.4444771339
72	0.4440261157
73	0.4435014809
74	0.4430871739
75	0.4426153153
76	0.4421658579
77	0.4417684339
78	0.4413814917
79	0.4409861594
80	0.4404135878
81	0.440047093
82	0.4396440589
83	0.4391996654
84	0.438869727
85	0.4384966422
86	0.4381740174
87	0.4378727502
88	0.4375577055
89	0.4371488164
90	0.4368708667
91	0.4364775168
92	0.4362110605
93	0.4358099939
94	0.4353894932
95	0.4351303379
96	0.4348523515
97	0.4344922725
98	0.4342403941
99	0.4339755389
100	0.4336399041
101	0.4333502347
102	0.4329206899
103	0.432584573
104	0.4323722433
105	0.4320778783
106	0.4318452358
107	0.4316236908
108	0.4313501363
109	0.4309855552
110	0.43073681
111	0.4305633416
112	0.4303402566
113	0.4300227712
114	0.4297351038
115	0.4295085217
116	0.4293248792
117	0.4291107931
118	0.4288678069
119	0.4286733909
120	0.4284600302
121	0.4282595228
122	0.4280299911
123	0.4277600891
124	0.4275761187
125	0.4273474456
126	0.4271084865
127	0.4269310623
128	0.4267779476
129	0.4265157482
130	0.4262909107
131	0.4259236981
132	0.425784472
133	0.4255180076
134	0.4252203209
135	0.4250628412
136	0.4248484161
137	0.4246358415
138	0.4244519853
139	0.4243136976
140	0.4241295758
141	0.4239260182
142	0.4236456761
143	0.4232784621
144	0.4231044226
145	0.4229203169
146	0.4227551446
147	0.4225546186
148	0.4223351456
149	0.4221237927
150	0.4219116055
151	0.421765205
152	0.4215844775
153	0.4214179044
154	0.4211691009
155	0.4209906582
156	0.4208463933
157	0.4206442436
158	0.4204792377
159	0.4203926242
160	0.4202044212
161	0.4199932326
162	0.419851976
163	0.4197255195
164	0.4195270999
165	0.4192682978
166	0.4190801057
167	0.4189053041
168	0.4187189619
169	0.4185784369
170	0.4183858635
171	0.4182058027
172	0.4179649913
173	0.4177558411
174	0.4175488846
175	0.4173743679
176	0.4172350263
177	0.417079591
178	0.4170090767
179	0.4167757078
180	0.4166422904
181	0.4164675338
182	0.4163237007
183	0.4161181573
184	0.4159270875
185	0.415758941
186	0.4156115482
187	0.4154389696
188	0.4152980213
189	0.4151269436
190	0.4150373457
191	0.414918813
192	0.4147864307
193	0.4146419243
194	0.4145058339
195	0.4143692334
196	0.414196023
197	0.414014358
198	0.4138414889
199	0.4137000828
200	0.4135687724
201	0.4133465779
202	0.4132092983
203	0.413044161
204	0.4128539158
205	0.4127211748
206	0.4126136403
207	0.4124773895
208	0.4121622337
209	0.4119562237
210	0.4118698269
211	0.4117441803
212	0.4115414661
213	0.4114078497
214	0.4112863045
215	0.4112010282
216	0.411059418
217	0.4109242036
218	0.4107696011
219	0.410692376
220	0.4106168178
221	0.4104821658
222	0.4102815315
223	0.4101669135
224	0.4100200202
225	0.40987642
226	0.4097490233
227	0.4095696385
228	0.4094432576
229	0.4092836863
230	0.4090971388
