iter	Passed	Remaining
0	14	14041
1	27	13899
2	41	13751
3	55	13739
4	69	13845
5	83	13771
6	95	13533
7	110	13690
8	124	13686
9	138	13731
10	152	13728
11	166	13694
12	180	13667
13	193	13620
14	206	13561
15	219	13500
16	234	13550
17	248	13583
18	264	13650
19	279	13691
20	293	13694
21	308	13693
22	322	13684
23	336	13699
24	350	13681
25	364	13658
26	378	13627
27	391	13592
28	404	13555
29	419	13554
30	432	13524
31	446	13500
32	459	13463
33	472	13430
34	485	13392
35	499	13381
36	513	13376
37	528	13370
38	542	13357
39	555	13341
40	570	13354
41	583	13319
42	598	13329
43	612	13304
44	625	13267
45	636	13190
46	648	13157
47	662	13146
48	677	13146
49	691	13134
50	705	13128
51	719	13121
52	734	13117
53	748	13107
54	762	13099
55	777	13105
56	793	13133
57	807	13122
58	822	13114
59	837	13114
60	850	13092
61	864	13072
62	877	13054
63	891	13043
64	906	13035
65	919	13010
66	933	12998
67	947	12991
68	963	13000
69	978	13004
70	992	12988
71	1005	12958
72	1019	12942
73	1033	12929
74	1046	12912
75	1060	12893
76	1073	12869
77	1087	12853
78	1101	12840
79	1115	12833
80	1131	12833
81	1145	12824
82	1159	12812
83	1174	12805
84	1188	12790
85	1202	12780
86	1216	12762
87	1228	12735
88	1241	12712
89	1255	12691
90	1268	12671
91	1282	12653
92	1295	12636
93	1309	12623
94	1324	12618
95	1337	12597
96	1351	12580
97	1365	12566
98	1378	12548
99	1392	12533
100	1405	12513
101	1418	12489
102	1433	12486
103	1447	12473
104	1461	12456
105	1474	12435
106	1488	12423
107	1503	12414
108	1516	12399
109	1530	12386
110	1544	12371
111	1559	12362
112	1573	12351
113	1588	12342
114	1604	12345
115	1619	12339
116	1634	12332
117	1648	12318
118	1663	12317
119	1679	12314
120	1694	12311
121	1708	12299
122	1722	12278
123	1736	12266
124	1750	12254
125	1764	12241
126	1780	12236
127	1794	12226
128	1808	12214
129	1823	12205
130	1837	12186
131	1852	12181
132	1868	12181
133	1883	12172
134	1897	12160
135	1912	12148
136	1926	12135
137	1940	12124
138	1955	12114
139	1969	12100
140	1983	12085
141	1997	12070
142	2012	12060
143	2027	12055
144	2043	12046
145	2056	12030
146	2070	12013
147	2083	11996
148	2097	11981
149	2111	11964
150	2125	11948
151	2138	11930
152	2152	11915
153	2166	11901
154	2179	11884
155	2193	11868
156	2208	11858
157	2224	11852
158	2238	11840
159	2251	11819
160	2265	11804
161	2279	11792
162	2292	11773
163	2306	11756
164	2319	11739
165	2332	11720
166	2345	11700
167	2358	11680
168	2371	11660
169	2385	11646
170	2398	11626
171	2411	11610
172	2425	11594
173	2438	11574
174	2451	11557
175	2464	11538
176	2477	11517
177	2490	11501
178	2502	11476
179	2515	11457
180	2527	11438
181	2541	11420
182	2554	11404
183	2568	11391
184	2581	11374
185	2595	11359
186	2609	11345
187	2623	11332
188	2637	11317
189	2650	11299
190	2663	11281
191	2677	11267
192	2690	11248
193	2704	11236
194	2718	11221
195	2732	11208
196	2748	11201
197	2763	11194
198	2778	11182
199	2791	11167
200	2804	11149
201	2818	11134
202	2832	11120
203	2845	11103
204	2858	11087
205	2872	11072
206	2885	11055
207	2899	11041
208	2914	11030
209	2929	11020
210	2943	11006
211	2958	10994
212	2972	10984
213	2987	10970
214	3000	10953
215	3013	10938
216	3025	10915
217	3038	10898
218	3051	10883
219	3065	10868
220	3078	10851
221	3091	10834
222	3106	10825
223	3121	10812
224	3135	10800
225	3150	10788
226	3164	10777
227	3179	10766
228	3194	10754
229	3207	10738
230	3221	10723
231	3235	10711
232	3249	10695
233	3261	10677
234	3276	10667
235	3291	10654
236	3305	10642
237	3320	10629
238	3335	10619
239	3349	10606
240	3363	10593
241	3377	10579
242	3391	10565
243	3405	10552
244	3420	10540
245	3435	10529
246	3449	10515
247	3463	10502
248	3479	10494
249	3492	10478
250	3505	10460
251	3519	10445
252	3532	10430
253	3546	10416
254	3560	10402
255	3574	10389
256	3589	10377
257	3603	10364
258	3618	10352
259	3632	10339
260	3646	10325
261	3661	10314
262	3675	10299
263	3688	10282
264	3701	10265
265	3714	10248
266	3727	10232
267	3740	10216
268	3754	10203
269	3768	10189
270	3783	10177
271	3798	10166
272	3813	10154
273	3827	10142
274	3840	10124
275	3854	10110
276	3868	10096
277	3882	10082
278	3897	10071
279	3910	10055
280	3924	10040
281	3938	10026
282	3952	10012
283	3965	9997
284	3979	9984
285	3995	9975
286	4011	9967
287	4026	9955
288	4040	9940
289	4052	9922
290	4065	9906
291	4080	9894
292	4094	9880
293	4107	9864
294	4121	9850
295	4135	9835
296	4149	9822
297	4163	9808
