respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.384144656,0.0250637564
26708,0.104715609,0.406778233
26709,0.457024484,0.277953438
26710,0.0170497846,0.588015795
26711,0.467815221,0.126004227
26712,0.154736648,0.247214814
26713,0.172773427,0.883512684
26714,0.374007467,0.146070966
26715,0.655163791,0.267872065
26716,0.310846828,0.162282701
26717,0.40145953,0.280744005
26718,0.0453597592,0.123737904
26719,0.605718793,0.524559981
26720,0.364735667,0.0731920114
26721,0.0654294253,0.316946548
26722,0.369237485,0.0920327912
26723,0.306878566,0.636133085
26724,0.406769626,0.186144661
26725,0.0835102942,0.219827075
26726,0.496711799,0.17156014
26727,0.296864747,0.270583155
26728,0.185271043,0.0721211716
26729,0.544399482,0.0471367376
26730,0.882203616,0.0394618449
26731,0.35614882,0.0743231097
26732,0.0306358573,0.495985867
26733,0.0393664242,0.747972736
26734,0.021467352,0.557352785
26735,0.0479494241,0.376507323
26736,0.387592938,0.0707631955
26737,0.577042714,0.0726294885
26738,0.112936191,0.949737748
26739,0.0648062345,0.316185286
26740,0.0792085512,0.0485975293
26741,0.0357162276,0.336528009
26742,0.353053767,0.0726045325
26743,0.373718984,0.132491124
26744,0.319832582,0.241615774
26745,0.067394066,0.719627793
26746,0.391835839,0.127406982
26747,0.745558287,0.0826135317
26748,0.347098585,0.0398867155
26749,0.22492146,0.0903005011
26750,0.122939372,0.861345334
26751,0.221044329,0.132943209
26752,0.554556017,0.157395601
26753,0.544765396,0.235654871
26754,0.335273397,0.0929450038
26755,0.0301672876,0.173072318
26756,0.111110278,0.133106469
26757,0.462089985,0.0269974041
26758,0.178185383,0.848640315
26759,0.32208149,0.0811110374
26760,0.250070921,0.173598768
26761,0.0267183037,0.882650823
26762,0.0260816376,0.0717630633
26763,0.219658864,0.73155271
26764,0.0299618065,0.654970326
26765,0.028807186,0.0123327534
26766,0.252475156,0.0409669312
26767,0.0628342752,0.594068044
26768,0.0923421438,0.554879774
26769,0.589945537,0.0397045776
26770,0.0856478819,0.784152439
26771,0.108772764,0.0915237536
26772,0.600298247,0.0275507357
26773,0.459716919,0.662289574
26774,0.523912472,0.146465307
26775,0.209000705,0.138432269
26776,0.013249248,0.665118785
26777,0.42587352,0.38146762
26778,0.084837087,0.723656877
26779,0.0176180906,0.384329859
26780,0.459986184,0.692757046
26781,0.21416297,0.176731502
26782,0.851427584,0.0625248448
26783,0.550758228,0.0305568933
26784,0.151076529,0.413493601
26785,0.395686579,0.963691356
