respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.128647227,0.182598092
26708,0.0465648937,0.0195100837
26709,0.363124957,0.721414977
26710,0.721683219,0.965427448
26711,0.437566367,0.198383587
26712,0.596306357,0.990375877
26713,0.469847322,0.440482802
26714,0.268486298,0.14859164
26715,0.0185187104,0.0409099452
26716,0.182638482,0.921253325
26717,0.0062406557,0.222082144
26718,0.515721915,0.872051047
26719,0.0244683343,0.978418461
26720,0.00741326078,0.143077485
26721,0.451925814,0.325726476
26722,0.10351094,0.0708728903
26723,0.728827865,0.94942458
26724,0.0191939567,0.832928836
26725,0.00668787567,0.052481611
26726,0.0505233201,0.00703719848
26727,0.600907769,0.983169172
26728,0.362413871,0.636906221
26729,0.0562174285,0.67063219
26730,0.0856259206,0.0509859699
26731,0.0210860868,0.168110229
26732,0.0627889045,0.0258388856
26733,0.844634874,0.983733897
26734,0.758308568,0.455196598
26735,0.0594223619,0.429814094
26736,0.0446852917,0.184667974
26737,0.0365128593,0.105910075
26738,0.83559855,0.979072636
26739,0.0876640689,0.306218894
26740,0.319841526,0.034350927
26741,0.0517477248,0.861170723
26742,0.151311624,0.606504549
26743,0.0183160218,0.628015156
26744,0.0198044231,0.661494224
26745,0.156609056,0.860653208
26746,0.188475882,0.255925429
26747,0.0571667067,0.194635774
26748,0.0459951568,0.0699130814
26749,0.0480427206,0.850065098
26750,0.727047318,0.971315417
26751,0.370719569,0.684806767
26752,0.0377315485,0.0417383183
26753,0.104162557,0.577850662
26754,0.141912023,0.768553447
26755,0.0941217148,0.317277231
26756,0.0163523385,0.0146738711
26757,0.133075531,0.34402327
26758,0.661471985,0.960982519
26759,0.0126240678,0.107316952
26760,0.0121986178,0.0246872019
26761,0.295540181,0.374827641
26762,0.0731228893,0.8965954
26763,0.867391135,0.985128166
26764,0.957607065,0.974648616
26765,0.0114635768,0.81440417
26766,0.144117388,0.220609427
26767,0.942006123,0.86743624
26768,0.00314387753,0.126509086
26769,0.0204883734,0.155844205
26770,0.0311401133,0.624685488
26771,0.0258191612,0.0954851312
26772,0.0277376339,0.560324444
26773,0.0109042774,0.347533498
26774,0.00919737921,0.198262163
26775,0.040823313,0.353391985
26776,0.375800267,0.184834285
26777,0.112656575,0.955848815
26778,0.0153933825,0.00575302731
26779,0.238526109,0.819802582
26780,0.0224002472,0.909782802
26781,0.0140643532,0.243660152
26782,0.0505692655,0.34665309
26783,0.114514655,0.330880585
26784,0.876818247,0.99646618
26785,0.379276219,0.822539527
26786,0.0630595787,0.33675821
26787,0.0414777145,0.591590965
26788,0.0289963551,0.948590949
26789,0.0102905115,0.270118721
26790,0.0182269802,0.171388661
26791,0.10676496,0.0258515704
26792,0.0453090128,0.796232629
26793,0.0694622389,0.939692262
26794,0.912103853,0.965186686
26795,0.0699745408,0.98211797
26796,0.0117265799,0.0249522244
26797,0.250379387,0.783888852
26798,0.411920805,0.157288595
26799,0.327941639,0.12267375
26800,0.0286811997,0.95743107
26801,0.11149161,0.178651145
26802,0.0746410631,0.169324464
26803,0.0311312768,0.112665652
26804,0.0301119304,0.0325788715
26805,0.108886555,0.0323252516
26806,0.00751246577,0.960370846
26807,0.523250972,0.949306737
26808,0.0363404839,0.310324813
26809,0.524781685,0.107574452
26810,0.0173256274,0.0524333612
26811,0.0247797747,0.0773698555
26812,0.47098027,0.889565014
26813,0.455102246,0.143294173
26814,0.0109975593,0.729383119
26815,0.0179039681,0.0363815247
26816,0.0551317415,0.0366511316
26817,0.0842667582,0.465881643
26818,0.172121646,0.32055898
26819,0.193433995,0.0185348136
26820,0.0478977,0.0635523537
26821,0.0111250781,0.63908803
26822,0.117263418,0.397945396
26823,0.278481198,0.385624106
26824,0.0141747639,0.802000761
26825,0.705414867,0.92890472
26826,0.143022223,0.828207129
26827,0.0187480205,0.0773666494
26828,0.24370671,0.804725904
26829,0.800635436,0.966140118
26830,0.00869568168,0.935409887
26831,0.080904948,0.927369589
26832,0.194554109,0.917587266
26833,0.0132693081,0.654049479
26834,0.0413311993,0.127561234
26835,0.841801016,0.982282865
26836,0.128352271,0.498699525
26837,0.051795142,0.00772958713
26838,0.0876565055,0.205770118
26839,0.390025567,0.848070215
26840,0.0585962941,0.0713679741
26841,0.495609362,0.909515057
26842,0.0827488588,0.156983797
26843,0.0349361458,0.0152608026
26844,0.0266000807,0.236163161
26845,0.0469098314,0.772617093
26846,0.0541821929,0.908071399
26847,0.190823488,0.177061977
26848,0.00946508515,0.626646833
26849,0.42542062,0.428474475
26850,0.727610945,0.769044811
26851,0.0279245562,0.0436168857
26852,0.0327896968,0.0481691562
26853,0.907730564,0.828131993
26854,0.00657209042,0.0157348673
26855,0.221754366,0.80803315
26856,0.0293198906,0.010923269
26857,0.2438901,0.0818895138
26858,0.178562213,0.681323605
26859,0.0227920273,0.0362924391
26860,0.0198587077,0.165072204
26861,0.020358785,0.0252998991
26862,0.0232238742,0.250956043
26863,0.0548198883,0.359610211
26864,0.375957368,0.349428282
26865,0.0294211256,0.0293124582
26866,0.0262072519,0.569814815
26867,0.219218832,0.183060826
26868,0.90250887,0.988324782
26869,0.0212517638,0.0510653269
26870,0.848407432,0.974005126
26871,0.0125970707,0.0159568082
26872,0.0732426984,0.252783213
26873,0.0325692057,0.775797089
26874,0.0255572498,0.0357634267
26875,0.241076862,0.923777367
26876,0.0316347695,0.0298744289
26877,0.125470364,0.172228591
26878,0.0337858387,0.0989227636
26879,0.00209599534,0.00430431558
26880,0.0405731212,0.0275871377
26881,0.00851805418,0.0338398278
26882,0.0252531645,0.0483223024
26883,0.0569091149,0.202288247
26884,0.612616233,0.396574858
26885,0.133479147,0.813746772
26886,0.19220015,0.852841971
26887,0.756562388,0.958403101
26888,0.920458586,0.989559164
26889,0.00456388094,0.226074983
26890,0.0895690959,0.179615115
26891,0.865242983,0.973242014
26892,0.024912663,0.72373468
26893,0.0403017478,0.0706151659
26894,0.17906399,0.149923455
26895,0.0156106817,0.895113496
26896,0.0374353574,0.0329721868
26897,0.0290192766,0.399724128
26898,0.461765448,0.765665749
26899,0.0308887819,0.111041578
26900,0.101190334,0.171525859
26901,0.0449999542,0.453387684
26902,0.10002191,0.858377933
26903,0.0647470513,0.017354229
26904,0.0409081731,0.216871816
26905,0.489315509,0.894721961
26906,0.00957077632,0.0884694644
26907,0.00284426033,0.607603975
26908,0.0125784431,0.487661572
26909,0.0681852463,0.124129554
26910,0.0179881077,0.162662687
26911,0.0238842931,0.0372627873
26912,0.44134756,0.913266071
26913,0.812010374,0.952853038
26914,0.0528170945,0.154929786
26915,0.0270675773,0.624953836
26916,0.0281781602,0.530032784
26917,0.0026659307,0.211751627
26918,0.936422398,0.990482097
26919,0.158208413,0.755544818
26920,0.02185399,0.142844397
26921,0.0971508006,0.901368678
26922,0.0206757521,0.791122174
26923,0.269601096,0.451940805
26924,0.823681659,0.993227021
26925,0.213247143,0.844163586
26926,0.451640007,0.606373116
26927,0.350199627,0.578429726
26928,0.068363529,0.632638062
26929,0.0717802513,0.142795851
26930,0.805372699,0.901831325
26931,0.129538494,0.39619245
26932,0.0698068964,0.966413719
26933,0.0651783388,0.71433194
26934,0.2074131,0.368011939
26935,0.0334890796,0.238459799
26936,0.438350095,0.0820355185
26937,0.190308265,0.849365393
26938,0.0221171262,0.0117435911
26939,0.04839583,0.144632001
26940,0.047768984,0.0886062544
26941,0.0874305337,0.413512968
26942,0.766002792,0.974393888
26943,0.153202007,0.729770549
26944,0.0428311772,0.196657794
26945,0.0941883699,0.459476884
26946,0.0574346818,0.667888143
26947,0.071233464,0.803923029
26948,0.0155062272,0.0475046018
26949,0.0226241122,0.0127620289
26950,0.0311767522,0.513482802
26951,0.0716927957,0.201138534
26952,0.920222886,0.986290628
26953,0.525852751,0.973364666
26954,0.00762443806,0.0493442244
26955,0.0478095915,0.609823821
26956,0.10329682,0.199735427
26957,0.0156763868,0.960692884
26958,0.186076066,0.95613015
26959,0.0343871269,0.197405752
26960,0.00425346903,0.0136809188
26961,0.273898539,0.436158582
26962,0.0938542713,0.937487424
26963,0.10774382,0.106336841
26964,0.0434142142,0.0700394433
26965,0.962873371,0.983295766
26966,0.0118836016,0.0122821181
26967,0.0274382682,0.24518981
26968,0.0457958881,0.884800711
26969,0.0170096073,0.0937391024
26970,0.762950963,0.548590108
26971,0.0907512122,0.250484258
26972,0.0244062527,0.0266901701
26973,0.0228923136,0.0824971107
26974,0.285692261,0.147399745
26975,0.1522863,0.684299132
26976,0.924527169,0.938901574
26977,0.0751151872,0.363584678
26978,0.00414508581,0.915671475
26979,0.643931622,0.974608784
26980,0.0253733659,0.0275285094
26981,0.00562262928,0.741434559
26982,0.799055757,0.978049598
26983,0.285862785,0.56537613
26984,0.055564579,0.0835407845
26985,0.0118549535,0.0146770216
26986,0.0212431911,0.273243985
26987,0.0248224428,0.0870609713
26988,0.00430648628,0.034209906
26989,0.601046096,0.953762226
26990,0.0107785276,0.212881507
26991,0.128573052,0.462975247
26992,0.334712513,0.235427579
26993,0.0303008334,0.882638334
26994,0.183457449,0.351631674
26995,0.0713841442,0.816729248
26996,0.287062228,0.294450213
26997,0.0101011743,0.0249800368
26998,0.0272192383,0.0153253198
26999,0.212757175,0.500572631
27000,0.0460969164,0.117867694
27001,0.035893778,0.835555094
27002,0.0123992993,0.289004023
27003,0.00200105583,0.0381481168
27004,0.391734395,0.657101252
27005,0.310370979,0.772526687
27006,0.913034834,0.954062257
27007,0.0103970521,0.0510193094
27008,0.0524682254,0.0378650227
27009,0.064000067,0.153688072
27010,0.0264316061,0.145059771
27011,0.033485328,0.0323579971
27012,0.111048474,0.692967679
27013,0.108730124,0.284048166
27014,0.0166503591,0.191630074
27015,0.353026141,0.0665702434
27016,0.0656940002,0.0910529907
27017,0.579683993,0.945562615
27018,0.04677268,0.150521556
27019,0.909796146,0.988655806
27020,0.388098222,0.0988290287
27021,0.250665412,0.620257567
27022,0.116524827,0.341790191
27023,0.0548871574,0.0582151609
27024,0.0284100885,0.188673772
27025,0.139938394,0.0243202677
27026,0.00682124891,0.173550614
27027,0.0559510063,0.936093473
27028,0.562863559,0.900746088
27029,0.192157261,0.357283237
27030,0.334648733,0.160688664
27031,0.197213694,0.924591845
27032,0.178909029,0.368036963
27033,0.497134365,0.739950025
27034,0.00765538089,0.625177401
27035,0.233201259,0.341573059
27036,0.320717364,0.843615494
27037,0.660080808,0.933819545
27038,0.005007639,0.0152486674
27039,0.899761332,0.983602574
27040,0.177403468,0.288919541
27041,0.023577557,0.724374356
27042,0.0217302834,0.367408437
27043,0.533132229,0.889818883
27044,0.00920734001,0.0262058719
27045,0.0900518433,0.718352103
27046,0.0503171423,0.0998087336
27047,0.532487322,0.564317679
27048,0.138000848,0.416655695
27049,0.313645966,0.915093775
27050,0.027689193,0.526709695
27051,0.00541053504,0.103178448
27052,0.0108321796,0.0683871241
27053,0.90030133,0.990139681
27054,0.0232560382,0.0320430953
27055,0.0634944886,0.909134504
27056,0.113613472,0.0443997555
27057,0.00353756466,0.00212084457
27058,0.953329797,0.972070914
27059,0.0691241032,0.129499378
27060,0.0160615935,0.262425389
27061,0.11105944,0.850349298
27062,0.0508627625,0.510659092
27063,0.017714959,0.413462582
27064,0.0560618847,0.387324258
27065,0.141875605,0.520189037
27066,0.0503554227,0.722000176
27067,0.72155329,0.961240863
27068,0.411144735,0.896367547
27069,0.864943323,0.985357228
27070,0.0299944071,0.0136032288
27071,0.0420136842,0.039955807
27072,0.0881023473,0.696281503
27073,0.0189380951,0.946242176
27074,0.0781877791,0.23014215
27075,0.359553873,0.556437427
27076,0.87867474,0.951284198
27077,0.0345304155,0.114774683
27078,0.0748542195,0.88992744
27079,0.0512777444,0.570262449
27080,0.161107968,0.168984888
27081,0.0391376231,0.794373766
27082,0.216118315,0.226189001
27083,0.0388555867,0.361464272
27084,0.901477685,0.74621724
27085,0.0119170101,0.0215059
27086,0.0073431117,0.034604342
27087,0.0458708557,0.0660611512
27088,0.353102088,0.68197085
27089,0.175668403,0.145059228
27090,0.5220671,0.831396897
27091,0.577887478,0.568555998
27092,0.0785777806,0.215371556
27093,0.362826028,0.20734663
27094,0.00366849363,0.0160805595
27095,0.116652757,0.471996423
27096,0.0749486225,0.130438196
27097,0.300445776,0.464011864
27098,0.61844673,0.947439712
27099,0.304582193,0.422335815
27100,0.0661592191,0.907621611
27101,0.0359698196,0.254631797
27102,0.0932221771,0.913999981
27103,0.0158444778,0.0464697448
27104,0.471983172,0.368848859
27105,0.070519845,0.122454788
27106,0.876596949,0.96840544
27107,0.581406342,0.958744656
27108,0.0494604158,0.496709082
27109,0.182161342,0.0739213509
27110,0.0225632014,0.160312493
27111,0.0496804249,0.378897418
27112,0.323136159,0.577326536
27113,0.0824868958,0.114138645
27114,0.150920183,0.0814926501
27115,0.276639936,0.741217723
27116,0.0250048755,0.890873826
27117,0.0276778718,0.0763320906
27118,0.0473488563,0.163112689
27119,0.0908686301,0.108962973
27120,0.0586665752,0.974028714
27121,0.00994551495,0.902406008
27122,0.0323401828,0.193674916
27123,0.0259068543,0.302613313
27124,0.0118709143,0.0308352895
27125,0.0104636267,0.0201892498
27126,0.17942165,0.227500179
