respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.107106445,0.0807993096
26708,0.0238412562,0.0197967328
26709,0.478814361,0.719878104
26710,0.597115511,0.927281164
26711,0.296396911,0.265567808
26712,0.635592092,0.984330061
26713,0.387328623,0.196192107
26714,0.0750438547,0.0509694648
26715,0.0117542614,0.0353320191
26716,0.0641542779,0.773621793
26717,0.0138041559,0.494969159
26718,0.212934085,0.431782544
26719,0.0572232995,0.922181317
26720,0.0405964878,0.24405295
26721,0.425068305,0.415956025
26722,0.048000717,0.0477140405
26723,0.478470517,0.91150641
26724,0.0249930647,0.907818444
26725,0.017535211,0.0152116273
26726,0.0608290558,0.0180824318
26727,0.339010669,0.675128534
26728,0.211495114,0.428067143
26729,0.0975146945,0.316866236
26730,0.0748748151,0.0622722909
26731,0.00820534322,0.264719774
26732,0.032414095,0.0145947408
26733,0.965633404,0.95178347
26734,0.767265391,0.401034169
26735,0.0345526417,0.176327742
26736,0.0276334436,0.120216156
26737,0.0371632842,0.0584679031
26738,0.863017544,0.978839597
26739,0.0492067474,0.125133373
26740,0.130559118,0.0424527671
26741,0.154305369,0.858428244
26742,0.0503638842,0.306459497
26743,0.0217780306,0.342320288
26744,0.0646605418,0.74051297
26745,0.116578398,0.837694728
26746,0.731220647,0.912147523
26747,0.0655597205,0.0993216809
26748,0.0264548049,0.0907702223
26749,0.0243497726,0.490002288
26750,0.611731237,0.928769922
26751,0.223978394,0.546249492
26752,0.0262086132,0.0490101444
26753,0.0921998194,0.330003756
26754,0.119426505,0.372802092
26755,0.108185568,0.122763866
26756,0.00893080383,0.0107261204
26757,0.338961717,0.422088732
26758,0.459629764,0.759232865
26759,0.0286425244,0.109447487
26760,0.0390048216,0.0110663156
26761,0.325389694,0.169899984
26762,0.100254558,0.794576339
26763,0.888515417,0.990677276
26764,0.920780128,0.980833776
26765,0.124998442,0.650770244
26766,0.0874476108,0.117950129
26767,0.896123584,0.773208755
26768,0.00627343471,0.130154482
26769,0.101359929,0.0944761064
26770,0.125917937,0.477158767
26771,0.029576009,0.30847868
26772,0.085432411,0.552289445
26773,0.00625326583,0.218834085
26774,0.0230637709,0.252195655
26775,0.0298939052,0.482471843
26776,0.363304292,0.0632642637
26777,0.197825108,0.896322227
26778,0.0783856792,0.0289400491
26779,0.0843747851,0.467667692
26780,0.322295699,0.941259665
26781,0.0650427525,0.306263628
26782,0.0154385431,0.265793487
26783,0.0593222999,0.25311957
26784,0.3656168,0.799886419
26785,0.0728538353,0.261979727
26786,0.112224456,0.222862033
26787,0.0297068112,0.598026963
26788,0.0415370192,0.884367823
26789,0.00817741291,0.25765928
26790,0.0374857341,0.188825558
26791,0.031555337,0.0280250887
26792,0.136002422,0.777334511
26793,0.0437206596,0.913314087
26794,0.792475651,0.968548776
26795,0.0599506702,0.961681177
26796,0.00827455784,0.0240522458
26797,0.143322278,0.637006905
26798,0.114478623,0.0713684606
26799,0.278034463,0.46163772
26800,0.0145075879,0.908231233
26801,0.0551137179,0.0344995474
26802,0.0280771569,0.138851468
26803,0.0197301166,0.0789037378
26804,0.0264560543,0.022347741
26805,0.034350333,0.0737748735
26806,0.0191768053,0.900268717
26807,0.424004954,0.899872513
26808,0.3637025,0.49929773
26809,0.598047857,0.159613533
26810,0.0148565102,0.0819050046
26811,0.00645229261,0.051355358
26812,0.150899586,0.79098227
26813,0.407833796,0.0902829131
26814,0.0114860218,0.538539964
26815,0.0164658157,0.0321798566
26816,0.0494152528,0.103174067
26817,0.0460175018,0.78458734
26818,0.148522377,0.264743583
26819,0.198952364,0.0818549813
26820,0.0679077408,0.131723999
26821,0.0700345102,0.616783724
26822,0.259775336,0.696755151
26823,0.483718734,0.302987258
26824,0.00603454533,0.392098916
26825,0.464050447,0.636404957
26826,0.106742138,0.545820186
26827,0.0302803909,0.0848046026
26828,0.296582826,0.561374076
26829,0.654129245,0.947338099
26830,0.0247307837,0.866784117
26831,0.179723989,0.867059639
26832,0.0563885971,0.825591945
26833,0.0124737537,0.704499838
26834,0.125211819,0.332698308
26835,0.750874467,0.990313482
26836,0.26703662,0.591649551
26837,0.107459068,0.00845972701
26838,0.0262449598,0.20184597
26839,0.066442859,0.186271182
26840,0.0373582839,0.0429978902
26841,0.517771967,0.926108883
26842,0.0316994578,0.083930791
26843,0.0321503973,0.0131701516
26844,0.108494712,0.197708803
26845,0.023583317,0.612063191
26846,0.0327769474,0.868044906
26847,0.377541814,0.116214758
26848,0.0107944052,0.682427942
26849,0.44411545,0.624475259
26850,0.50645237,0.785923891
26851,0.0133226275,0.0227540898
26852,0.019227704,0.0288389607
26853,0.228105537,0.246051573
26854,0.0198572595,0.0147093842
26855,0.277313445,0.766684205
26856,0.036565708,0.00804625483
26857,0.425302567,0.0181607709
26858,0.186719023,0.501260532
26859,0.0325173048,0.0351267179
26860,0.119720493,0.0424235725
26861,0.0471911514,0.0437768977
26862,0.0479465659,0.25095093
26863,0.0777939437,0.334625187
26864,0.354587613,0.219230096
26865,0.0155927185,0.0169275721
26866,0.115397187,0.509998544
26867,0.0683459504,0.110321748
26868,0.859103586,0.985549201
26869,0.0305769273,0.11403888
26870,0.672214699,0.956343934
26871,0.0118860877,0.00612432552
26872,0.0322428044,0.229814704
26873,0.0701768267,0.656724581
26874,0.013242723,0.0440324171
26875,0.590846823,0.972710435
26876,0.0138543617,0.0175356225
26877,0.0613207881,0.0568560206
26878,0.0520638683,0.0996767546
26879,0.0071471897,0.045359044
26880,0.0813752046,0.0459856369
26881,0.0122117806,0.0514643168
26882,0.0201841966,0.0172089347
26883,0.0654788613,0.0697255803
26884,0.0561220353,0.0360292046
26885,0.165037685,0.717860612
26886,0.037694206,0.782939333
26887,0.69099411,0.912913834
26888,0.960678348,0.980521244
26889,0.023327504,0.0812955682
26890,0.0871201287,0.307445198
26891,0.662160903,0.961151905
26892,0.0296202564,0.517546227
26893,0.0217332523,0.0640863091
26894,0.0865811662,0.0690197528
26895,0.0204502712,0.866178347
26896,0.0289187973,0.0164865743
26897,0.0168019902,0.361592939
26898,0.141152263,0.447015621
26899,0.0339378441,0.0381175845
26900,0.0275390493,0.0998912052
26901,0.0279597053,0.526045714
26902,0.145648764,0.893784601
26903,0.0427143775,0.0306429493
26904,0.0124163929,0.101895489
26905,0.156152226,0.732918513
26906,0.0123999831,0.217671559
26907,0.00238626205,0.51621581
26908,0.121005601,0.772266783
26909,0.132983615,0.0464316702
26910,0.0831443771,0.186024148
26911,0.01495158,0.0539612522
26912,0.397001357,0.825047642
26913,0.67370067,0.901937428
26914,0.0855869335,0.228433391
26915,0.104589945,0.642705517
26916,0.0520490042,0.325307141
26917,0.0121453366,0.0134183426
26918,0.889021237,0.974401532
26919,0.32149882,0.440458623
26920,0.0077599913,0.0610913127
26921,0.0734780759,0.837868476
26922,0.0351243352,0.703560916
26923,0.270656797,0.186922385
26924,0.846335622,0.98445481
26925,0.0987152847,0.770190368
26926,0.158798906,0.252305321
26927,0.339532792,0.423360569
26928,0.0437123394,0.79627887
26929,0.0324987525,0.0569897555
26930,0.569978532,0.878312202
26931,0.124286469,0.372287294
26932,0.0419385162,0.935283753
26933,0.0508001579,0.551435172
26934,0.337411093,0.248615049
26935,0.128329909,0.265021286
26936,0.20179209,0.204942554
26937,0.355029809,0.72744554
26938,0.0136443879,0.00716495656
26939,0.0182018472,0.0509645096
26940,0.0662960158,0.0698495281
26941,0.0346085997,0.183919985
26942,0.473094718,0.537458287
26943,0.12886805,0.522085686
26944,0.0297507276,0.0451430617
26945,0.0708288718,0.36496851
26946,0.107299775,0.63760263
26947,0.0368565531,0.0892398387
26948,0.0214757529,0.0254909213
26949,0.0091033946,0.09777504
26950,0.0289527774,0.306662638
26951,0.0155362814,0.075169765
26952,0.871405859,0.960933088
26953,0.852573083,0.984616092
26954,0.0134621459,0.301070154
26955,0.121143328,0.587793079
26956,0.0383912108,0.618139625
26957,0.0105059634,0.882276879
26958,0.201188014,0.766433531
26959,0.0297953905,0.131988848
26960,0.0126702365,0.029030614
26961,0.130492691,0.34796188
26962,0.108962211,0.79275025
26963,0.102541625,0.154016913
26964,0.0588202697,0.158673794
26965,0.8774277,0.990794719
26966,0.00670498255,0.016103732
26967,0.00217856898,0.123841814
26968,0.0203092117,0.789401132
26969,0.0247868016,0.0402243735
26970,0.486675864,0.340174128
26971,0.0371025705,0.145601154
26972,0.00386689394,0.00469714562
26973,0.0279511876,0.0437502227
26974,0.103732208,0.153049755
26975,0.0441848822,0.625979643
26976,0.879142979,0.633628844
26977,0.0187685941,0.123780861
26978,0.00347806233,0.88139288
26979,0.594072528,0.973420624
26980,0.0154039863,0.0441984605
26981,0.0504306613,0.247154059
26982,0.789180695,0.984082014
26983,0.109775737,0.352363444
26984,0.0241492807,0.0970306548
26985,0.00703382701,0.0218057002
26986,0.0723622782,0.263363728
26987,0.0410059821,0.0759932893
26988,0.0203093823,0.0470625873
26989,0.387409329,0.780054749
26990,0.00606867296,0.0762029754
26991,0.141598826,0.3413155
26992,0.248025693,0.112771509
26993,0.0851225277,0.782234601
26994,0.146285933,0.252205485
26995,0.171526048,0.229874446
26996,0.328858345,0.140972026
26997,0.0122123089,0.0271145659
26998,0.010795078,0.0259457124
26999,0.15753496,0.255834428
27000,0.107110062,0.140447379
27001,0.02644472,0.737159123
27002,0.00787679711,0.151027661
27003,0.00490093206,0.0290179696
27004,0.0249248167,0.136428447
27005,0.593323185,0.965664554
27006,0.798253913,0.925648584
27007,0.00817095233,0.0392849416
27008,0.0720585921,0.0109745715
27009,0.0471284563,0.0909481873
27010,0.0210629731,0.117780155
27011,0.0828254628,0.0401263026
27012,0.152468096,0.46669659
27013,0.0925159778,0.16496762
27014,0.0152801247,0.271102171
27015,0.12025782,0.106005587
27016,0.04944995,0.291117648
27017,0.394878729,0.671065545
27018,0.0122940476,0.0697427984
27019,0.912183835,0.992573111
27020,0.212021585,0.0269323858
27021,0.0893174575,0.547311866
27022,0.160053109,0.202166505
27023,0.0838178897,0.086753133
27024,0.0633920217,0.329935932
27025,0.0236549943,0.0258679632
27026,0.0283412229,0.465218355
27027,0.118040167,0.863844825
27028,0.341243571,0.814547075
27029,0.0678115617,0.276455686
27030,0.262848807,0.028076927
27031,0.207450324,0.896823177
27032,0.247852265,0.578662035
27033,0.431913284,0.50054085
27034,0.00555004442,0.890118412
27035,0.111300681,0.16710954
27036,0.135444248,0.532518183
27037,0.527616477,0.872308991
27038,0.0148956482,0.0102947159
27039,0.616243877,0.971499724
27040,0.226957837,0.0999129579
27041,0.120706888,0.687951038
27042,0.0433378094,0.338486156
27043,0.410663285,0.258938846
27044,0.0202502265,0.0558243589
27045,0.135867415,0.619459533
27046,0.0187617748,0.0460530991
27047,0.550636012,0.867235431
27048,0.24046935,0.272881153
27049,0.380057394,0.895366843
27050,0.0212624615,0.405491927
27051,0.0401270415,0.885857235
27052,0.0406784842,0.0977172052
27053,0.930184833,0.976039074
27054,0.0180120045,0.0268416821
27055,0.0651811691,0.942848811
27056,0.0770887706,0.0368468089
27057,0.0152058009,0.0364953946
27058,0.916906788,0.964769407
27059,0.0267627424,0.0582943003
27060,0.00371942462,0.156857209
27061,0.032030759,0.761300684
27062,0.0314779734,0.332566327
27063,0.0839829876,0.425268221
27064,0.0875333713,0.658285784
27065,0.0341125181,0.540511657
27066,0.031058703,0.424526984
27067,0.414893061,0.570352362
27068,0.726896256,0.960338504
27069,0.648073184,0.97966015
27070,0.0291568276,0.0344056477
27071,0.0235009442,0.00789212043
27072,0.113916066,0.621931312
27073,0.0112819735,0.761395067
27074,0.0232215348,0.160771867
27075,0.651820895,0.975947269
27076,0.735352172,0.957858149
27077,0.0219789587,0.0199621088
27078,0.138987403,0.78624315
27079,0.325055699,0.82719485
27080,0.0295545482,0.112095846
27081,0.0275144134,0.658185384
27082,0.119754523,0.19969501
27083,0.0462539702,0.239268039
27084,0.906120191,0.592305581
27085,0.0237270909,0.0160312419
27086,0.0529427425,0.104283735
27087,0.0700645024,0.176288164
27088,0.168066987,0.810773737
27089,0.122744443,0.151207866
27090,0.302193187,0.322943
27091,0.604238848,0.57766664
27092,0.0580861427,0.116327235
27093,0.0943584691,0.0907867846
27094,0.0169337817,0.0296098524
27095,0.0437509466,0.393539955
27096,0.0446974236,0.048160017
27097,0.225655632,0.284013574
27098,0.473369982,0.693243522
27099,0.0961187331,0.405517443
27100,0.0326413421,0.656520867
27101,0.0650267712,0.21102962
27102,0.0382101565,0.792905757
27103,0.00589097856,0.0197089299
27104,0.149826546,0.21149962
27105,0.0553225022,0.32594826
27106,0.830466906,0.914458977
27107,0.341777407,0.57551936
27108,0.107293546,0.117993407
27109,0.119005396,0.0880688445
27110,0.0550667719,0.388148361
27111,0.0195033134,0.194534052
27112,0.220960973,0.456263287
27113,0.0451100149,0.0773594839
27114,0.0669008321,0.0693427195
27115,0.448856652,0.699949926
27116,0.0798143683,0.936365433
27117,0.0365525975,0.0443662344
27118,0.227061747,0.316691347
27119,0.046310796,0.179257761
27120,0.223614244,0.955680164
27121,0.00248395691,0.73284475
27122,0.040416808,0.0979708565
27123,0.0581916822,0.12372807
27124,0.0300228634,0.0693840673
27125,0.0171238795,0.0367250521
27126,0.179277183,0.135167318
27127,0.046881515,0.0631320086
27128,0.0842294438,0.418229232
27129,0.60266492,0.86479638
27130,0.0236780766,0.0740388298
27131,0.0443923837,0.0745801859
27132,0.271570436,0.772356684
27133,0.35687857,0.394987749
27134,0.761353043,0.993507289
27135,0.480343397,0.710396105
27136,0.0212990004,0.36219012
27137,0.0219202982,0.0566558281
27138,0.137808835,0.425402567
27139,0.0863169587,0.127323183
27140,0.960662943,0.98919754
27141,0.3151962,0.379636398
27142,0.0850515162,0.101689054
27143,0.073904572,0.0924085985
27144,0.00666878315,0.0225970694
27145,0.584045782,0.871854092
27146,0.0206706478,0.936398839
27147,0.00953870152,0.168300025
27148,0.0308449996,0.0394182489
27149,0.131594909,0.0360785859
27150,0.400759662,0.96742729
27151,0.177503053,0.807602057
27152,0.0157619152,0.130731214
27153,0.095954352,0.658251639
27154,0.50283198,0.928662411
27155,0.147927019,0.400902906
27156,0.00789829441,0.176608854
27157,0.0171572846,0.417254479
27158,0.0544230257,0.178957371
27159,0.0232689237,0.0844600742
27160,0.185009039,0.113116041
27161,0.26682696,0.500760569
27162,0.1149503,0.914103231
27163,0.532483672,0.93350599
27164,0.103944931,0.0890759199
27165,0.31632099,0.278416427
27166,0.0867386859,0.12524843
27167,0.0828933547,0.537378712
27168,0.0484903695,0.412082059
27169,0.619567774,0.969832423
27170,0.552634248,0.984128771
27171,0.0729418913,0.204060953
27172,0.0868022997,0.853133457
27173,0.14286449,0.18345482
27174,0.0310367375,0.037637621
27175,0.0427669391,0.0204831009
27176,0.615992497,0.989748832
27177,0.689625451,0.985510545
27178,0.0982070881,0.177925668
27179,0.0677221012,0.192491648
27180,0.301573388,0.319997156
27181,0.00311358926,0.760814984
27182,0.47134095,0.895963399
27183,0.0212693116,0.517038224
27184,0.0297951223,0.403021519
27185,0.414085598,0.620523235
27186,0.282198623,0.758158597
27187,0.0153339289,0.060222204
27188,0.0905858317,0.357308325
27189,0.059793256,0.707470479
27190,0.570729767,0.957283025
27191,0.0627510726,0.959258404
27192,0.384037081,0.771988918
27193,0.00692481694,0.0820069878
27194,0.0466547199,0.310768231
27195,0.0132928823,0.104617829
27196,0.179078584,0.0861956917
27197,0.0606856116,0.542299021
27198,0.860195482,0.993127917
27199,0.00763554893,0.123031008
27200,0.135079982,0.382762849
27201,0.696916589,0.965513927
27202,0.0228162898,0.122798613
27203,0.0378565118,0.0469169219
27204,0.0175653223,0.0293782424
27205,0.0461285793,0.00501987167
27206,0.0946400655,0.19418545
27207,0.0580210007,0.089086555
27208,0.570508985,0.537685362
27209,0.849354988,0.824635618
27210,0.372366803,0.217784432
27211,0.057171975,0.200424768
27212,0.691971424,0.938194921
27213,0.391692627,0.302996687
27214,0.0083464818,0.00951984264
27215,0.086490076,0.701493844
27216,0.0436309782,0.823448265
27217,0.0622543826,0.211731408
27218,0.633539035,0.978186855
27219,0.419938741,0.461545876
27220,0.17308141,0.243806484
27221,0.299909757,0.558002488
27222,0.12740039,0.502832827
27223,0.0347076205,0.806816529
27224,0.0831676787,0.696570424
27225,0.118907013,0.15613362
27226,0.0149480766,0.214615494
27227,0.116867171,0.174223532
27228,0.433933993,0.869856237
27229,0.572837363,0.938826772
27230,0.136997997,0.943211516
27231,0.245212157,0.857095216
27232,0.0527608994,0.348487881
27233,0.226696318,0.172774977
27234,0.0280807061,0.114801186
27235,0.947015511,0.98598115
27236,0.0788100782,0.928496101
27237,0.414401262,0.640514339
27238,0.495122266,0.8481295
27239,0.258263357,0.0946282129
27240,0.127393013,0.349584602
27241,0.0381755165,0.0885841322
27242,0.071697563,0.503717736
27243,0.0135806479,0.0909620465
27244,0.0136279186,0.050216892
27245,0.227519385,0.11399454
27246,0.866049362,0.974815731
27247,0.0976094675,0.935385642
27248,0.155082975,0.721932143
27249,0.157338072,0.483794717
27250,0.0536929441,0.113600407
27251,0.0409438474,0.230790797
27252,0.202835729,0.21962319
27253,0.0248959469,0.87709319
27254,0.862303234,0.981867939
27255,0.118762251,0.196172355
27256,0.598829921,0.992368724
27257,0.35157397,0.320249257
27258,0.15978951,0.3643434
27259,0.407666887,0.876074128
27260,0.101166672,0.309426757
27261,0.050708925,0.588915315
27262,0.246660057,0.420199106
27263,0.106016121,0.0554724944
27264,0.0460659484,0.0174964903
27265,0.0235068969,0.250396507
27266,0.0821023822,0.16698356
27267,0.283403307,0.573008804
27268,0.0223492118,0.0214469321
27269,0.717789383,0.738858975
27270,0.0817777016,0.0532724503
27271,0.0417420085,0.102266481
27272,0.0319113733,0.245219838
27273,0.0320092231,0.146800023
27274,0.174179552,0.306109742
27275,0.14537628,0.252930977
