respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.0690825653,0.16685349
26708,0.0300297554,0.0182201364
26709,0.263397679,0.678488187
26710,0.688391874,0.975289095
26711,0.248347541,0.490094565
26712,0.823713688,0.985434065
26713,0.263047423,0.387249256
26714,0.186925626,0.0858590222
26715,0.0164850065,0.0722410669
26716,0.204240248,0.912733229
26717,0.00489322339,0.428234345
26718,0.304592297,0.359271046
26719,0.0558570422,0.952702974
26720,0.0224007917,0.258718026
26721,0.394453053,0.373970828
26722,0.0645473408,0.0871548629
26723,0.874511733,0.953440695
26724,0.0262812296,0.703405047
26725,0.00294461919,0.0120046942
26726,0.0481870365,0.0244537934
26727,0.515480202,0.972499245
26728,0.233528005,0.482188314
26729,0.282713198,0.541173093
26730,0.0539562755,0.0964153472
26731,0.0175824345,0.21731384
26732,0.12688524,0.0308148744
26733,0.981578365,0.974354021
26734,0.771490688,0.384271741
26735,0.118107394,0.27166003
26736,0.0622159387,0.116153009
26737,0.0365308515,0.0581386871
26738,0.8350357,0.979280142
26739,0.07387072,0.182100889
26740,0.128910497,0.0661468852
26741,0.0518940699,0.882785786
26742,0.0757171217,0.381700502
26743,0.0345548604,0.513220161
26744,0.0389176484,0.784435383
26745,0.0309164912,0.931343759
26746,0.126287447,0.250268933
26747,0.0575210401,0.126953549
26748,0.011519941,0.0384223425
26749,0.0540029007,0.648282891
26750,0.474015145,0.733739236
26751,0.461721421,0.621967227
26752,0.0635153257,0.0416552697
26753,0.30406483,0.402515794
26754,0.101135988,0.598286141
26755,0.130909712,0.352250263
26756,0.0261727808,0.0138635657
26757,0.0936279623,0.400684431
26758,0.669528289,0.96887188
26759,0.0262565508,0.189015907
26760,0.0135018018,0.0237802899
26761,0.561190423,0.92960079
26762,0.190765539,0.89284346
26763,0.935551572,0.982625056
26764,0.992663731,0.99003632
26765,0.0207930433,0.432609124
26766,0.0890091514,0.121696031
26767,0.927866448,0.8151568
26768,0.0113762303,0.450599311
26769,0.0489131786,0.0893254617
26770,0.044527687,0.406465977
26771,0.0141394967,0.238469233
26772,0.0615265838,0.474756653
26773,0.0132195056,0.189017959
26774,0.0137964891,0.316191099
26775,0.0203909361,0.498298324
26776,0.308054659,0.147241774
26777,0.128740274,0.911556672
26778,0.134880172,0.0262836633
26779,0.237490242,0.590169164
26780,0.040995955,0.968126786
26781,0.0590443136,0.391967266
26782,0.0704442416,0.300870128
26783,0.0313443388,0.230998059
26784,0.0532676415,0.801208464
26785,0.560838488,0.815220429
26786,0.0386192099,0.249313722
26787,0.0338663664,0.536634034
26788,0.0232246012,0.924659491
26789,0.0112766002,0.186350323
26790,0.0231988905,0.235766971
26791,0.0746947726,0.0546403957
26792,0.0611542515,0.708756648
26793,0.123636145,0.96224545
26794,0.447060862,0.634204907
26795,0.0661921999,0.976308654
26796,0.0215405363,0.0289504447
26797,0.115271477,0.693672473
26798,0.207349938,0.177271062
26799,0.190093817,0.264747232
26800,0.0487011122,0.965387525
26801,0.226751412,0.228574254
26802,0.104453295,0.149103014
26803,0.0344826308,0.169357901
26804,0.032602378,0.0306576394
26805,0.068393669,0.0592546929
26806,0.017174285,0.948196353
26807,0.203455728,0.963025321
26808,0.0180713547,0.321146859
26809,0.601716744,0.115377345
26810,0.017685712,0.10643041
26811,0.0145197521,0.0410754143
26812,0.30817393,0.917341925
26813,0.555217155,0.825064587
26814,0.015416981,0.713043799
26815,0.0072276226,0.0292987048
26816,0.0423314244,0.11511434
26817,0.0162018641,0.366785293
26818,0.125406593,0.358155585
26819,0.0879926785,0.160080257
26820,0.101902206,0.139333811
26821,0.0328733845,0.560416538
26822,0.0628090901,0.677409334
26823,0.265058983,0.276349657
26824,0.0108294847,0.73171365
26825,0.493980881,0.539262754
26826,0.0467366462,0.679928929
26827,0.0163109735,0.0698967014
26828,0.0810599609,0.347384152
26829,0.881517696,0.987148775
26830,0.0105711364,0.79846812
26831,0.112950851,0.887018087
26832,0.0169417871,0.800210614
26833,0.0104219787,0.601701589
26834,0.201451007,0.391953649
26835,0.283109753,0.754381462
26836,0.344049253,0.660546121
26837,0.0767942834,0.0111611618
26838,0.118201911,0.320382832
26839,0.13375425,0.403239406
26840,0.0603165176,0.0675120961
26841,0.775769488,0.970249458
26842,0.0538608552,0.131770486
26843,0.0228315349,0.0183809232
26844,0.0317728909,0.246317781
26845,0.017304445,0.750097306
26846,0.0313294312,0.839069865
26847,0.51606585,0.246372508
26848,0.0310200359,0.745970607
26849,0.48620799,0.400566918
26850,0.782107121,0.856039134
26851,0.0255851619,0.0351687482
26852,0.0211570922,0.0700210896
26853,0.274455296,0.302126355
26854,0.0193102942,0.0516604777
26855,0.184861157,0.715842257
26856,0.0519179293,0.0198931721
26857,0.817344457,0.264470028
26858,0.119903242,0.490419139
26859,0.0191155745,0.0756775843
26860,0.0359842477,0.0451693107
26861,0.0245285789,0.0555500549
26862,0.0164751277,0.262538746
26863,0.0655937692,0.346699123
26864,0.372810737,0.305179316
26865,0.0189871564,0.0272123767
26866,0.0427852752,0.711254099
26867,0.146396048,0.122098945
26868,0.940879003,0.970849356
26869,0.0256386013,0.194970387
26870,0.871969885,0.969139941
26871,0.0172344182,0.0203065753
26872,0.0814200655,0.171580763
26873,0.0401767932,0.638378515
26874,0.08302161,0.114312026
26875,0.331167933,0.887982633
26876,0.0453286891,0.0300851819
26877,0.0972665053,0.121097596
26878,0.0969160357,0.0555789956
26879,0.00382052495,0.0153467778
26880,0.0522867514,0.0323920365
26881,0.013445908,0.0433757572
26882,0.0224939612,0.0293372829
26883,0.0920250171,0.165681202
26884,0.0804162755,0.198618641
26885,0.292808808,0.791934169
26886,0.118357656,0.868012483
26887,0.787725344,0.971885163
26888,0.992091651,0.986538489
26889,0.00637718572,0.11078015
26890,0.0546618858,0.287344279
26891,0.825103611,0.932798464
26892,0.108089595,0.693781186
26893,0.0333593306,0.0734684919
26894,0.191302777,0.120182689
26895,0.0333557833,0.898032765
26896,0.0468430944,0.0290797638
26897,0.0617740691,0.512147619
26898,0.0995436659,0.519485451
26899,0.0161947134,0.0542975093
26900,0.100617903,0.175341342
26901,0.064734872,0.327286796
26902,0.109819514,0.899424712
26903,0.191886808,0.0109519415
26904,0.0615174741,0.252156516
26905,0.347046624,0.857653133
26906,0.0208091188,0.267096953
26907,0.00454127682,0.638332849
26908,0.0378411315,0.676840801
26909,0.231385117,0.0626782832
26910,0.0594926653,0.172511215
26911,0.0528108825,0.0592407281
26912,0.577911792,0.977054265
26913,0.660041067,0.912612015
26914,0.0379675028,0.17699688
26915,0.0754738154,0.507350749
26916,0.0345114065,0.27142297
26917,0.00266791692,0.0153221259
26918,0.929282842,0.98372494
26919,0.0508084145,0.247410393
26920,0.00652800137,0.0357708338
26921,0.0959076199,0.925163293
26922,0.0149285036,0.769803497
26923,0.234062554,0.489047337
26924,0.935122581,0.984892705
26925,0.149635118,0.837198238
26926,0.410716536,0.381190851
26927,0.475344745,0.460416146
26928,0.093637392,0.546339306
26929,0.0587274418,0.0712886297
26930,0.603010895,0.951722133
26931,0.207708608,0.407964407
26932,0.0828198791,0.968279697
26933,0.0104880524,0.538611921
26934,0.222593408,0.45945884
26935,0.0975950582,0.320897041
26936,0.237349569,0.100339627
26937,0.196525427,0.715977073
26938,0.0254943373,0.0266366103
26939,0.0227656548,0.0777652059
26940,0.054534922,0.0718666282
26941,0.142424484,0.338187732
26942,0.838401041,0.9512342
26943,0.0504146921,0.534709343
26944,0.0296026556,0.102519354
26945,0.0523096986,0.566604265
26946,0.0480855139,0.696882137
26947,0.22287007,0.228595078
26948,0.0390927526,0.0379559374
26949,0.0211029582,0.022960206
26950,0.0388470822,0.482719237
26951,0.0675678172,0.265951422
26952,0.939708286,0.984990426
26953,0.341200284,0.930514851
26954,0.00161747164,0.074341327
26955,0.0666262474,0.698790208
26956,0.376333574,0.093686665
26957,0.0219861425,0.964967115
26958,0.0386111948,0.840994268
26959,0.0365189428,0.198336173
26960,0.0103411605,0.0405885438
26961,0.314800813,0.347019702
26962,0.128974983,0.892651255
26963,0.0540024853,0.162120874
26964,0.0636412155,0.110735385
26965,0.345031073,0.786975308
26966,0.0727415874,0.0154037229
26967,0.107263949,0.293828363
26968,0.0687128348,0.919641386
26969,0.0580122649,0.144132912
26970,0.707480098,0.531973523
26971,0.120579377,0.156291152
26972,0.0178185252,0.0116368425
26973,0.0615798601,0.0838733554
26974,0.213168839,0.122644322
26975,0.18458637,0.720644389
26976,0.940350602,0.702821974
26977,0.0978821599,0.34572688
26978,0.0041725463,0.859244317
26979,0.75686267,0.971429108
26980,0.040396789,0.0543667771
26981,0.0101911771,0.40179071
26982,0.838831495,0.98427848
26983,0.185562104,0.491497001
26984,0.015984234,0.126369573
26985,0.0300043452,0.0377304354
26986,0.050175884,0.26841145
26987,0.0166277104,0.101523752
26988,0.00427021832,0.0955621111
26989,0.58208184,0.952920955
26990,0.00571926845,0.0318708458
26991,0.0820995671,0.307486326
26992,0.308344214,0.220373093
26993,0.0406106767,0.874025628
26994,0.149606169,0.262784434
26995,0.0215113868,0.301222296
26996,0.407829607,0.186515871
26997,0.0147348785,0.0308244096
26998,0.0448494145,0.016533892
26999,0.168603929,0.292700082
27000,0.0335418139,0.306068092
27001,0.0300917236,0.849395338
27002,0.00628805566,0.31700746
27003,0.00403923566,0.0232169648
27004,0.300260559,0.17303346
27005,0.52748056,0.970692503
