respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.469506589,0.045310287
26708,0.0485855551,0.0227101353
26709,0.42379622,0.167786214
26710,0.0127130949,0.108891102
26711,0.446819661,0.0462970044
26712,0.580249923,0.0612186539
26713,0.165511157,0.32296573
26714,0.284167035,0.0736527686
26715,0.591098406,0.118637835
26716,0.183970941,0.120818634
26717,0.133804556,0.769622049
26718,0.028289729,0.00814919631
26719,0.366556825,0.639201935
26720,0.582315685,0.0472267511
26721,0.150151237,0.0631151113
26722,0.194646988,0.165709665
26723,0.400618736,0.257073466
26724,0.293871559,0.27970117
26725,0.108137602,0.279215641
26726,0.107550018,0.0797929306
26727,0.233106886,0.141248891
26728,0.32584333,0.0705260293
26729,0.627983606,0.0281566234
26730,0.751597344,0.0673153785
26731,0.214979859,0.101904195
26732,0.112892734,0.243582448
26733,0.173048097,0.483562882
26734,0.120722032,0.440252249
26735,0.0185969251,0.0311104072
26736,0.249845365,0.0250567457
26737,0.282925211,0.0229985783
26738,0.597316668,0.640226282
26739,0.0471930855,0.0252777237
26740,0.0585902736,0.0171207375
26741,0.0889057621,0.264046387
26742,0.453824653,0.0298518776
26743,0.338278243,0.0290629963
26744,0.313194966,0.231800274
26745,0.148147429,0.666394905
26746,0.267567571,0.102100441
26747,0.368059709,0.0593650637
26748,0.211623928,0.083392015
26749,0.364625798,0.0555808593
26750,0.305034871,0.410637583
26751,0.327977128,0.0684865308
26752,0.198466818,0.0575282757
26753,0.369463312,0.176780808
26754,0.0800244196,0.056650397
26755,0.0214142144,0.0101515252
26756,0.0440015897,0.0313963279
26757,0.24824234,0.228823057
26758,0.288511254,0.50722584
26759,0.188518137,0.0353119826
26760,0.0593721539,0.0177069144
26761,0.0745179546,0.732137846
26762,0.0701181624,0.0689068662
26763,0.56454908,0.581759824
26764,0.219238576,0.378265908
26765,0.141033837,0.061756693
26766,0.369817389,0.0138548318
26767,0.522322327,0.314093188
26768,0.0343927292,0.298993471
26769,0.49446187,0.035431018
26770,0.0491418723,0.273904462
26771,0.234562306,0.175412586
26772,0.83143473,0.0161748085
26773,0.38959377,0.619561775
26774,0.122954033,0.0540017623
26775,0.0816404686,0.0859390047
26776,0.0597576157,0.341236442
26777,0.212263585,0.140048918
26778,0.0547401274,0.665620245
26779,0.0214842084,0.0321241943
26780,0.422373775,0.566517269
26781,0.053633024,0.031327298
26782,0.75787093,0.0309739597
26783,0.524608555,0.0575008627
26784,0.160214722,0.177411798
26785,0.342171479,0.878347848
26786,0.313798362,0.0166867356
26787,0.250238524,0.152170321
26788,0.0706565987,0.135536851
26789,0.0228580003,0.043055993
26790,0.362880855,0.0808081241
26791,0.0634031407,0.051613593
26792,0.333290708,0.161833778
26793,0.395220598,0.529105643
26794,0.648878337,0.552309682
26795,0.235028004,0.164927423
26796,0.28268804,0.125604828
26797,0.0594658412,0.176986308
26798,0.524612059,0.081511996
26799,0.160080514,0.142259075
26800,0.283839315,0.288518588
26801,0.487778563,0.315423856
26802,0.450827888,0.0161411151
26803,0.120544943,0.0344146777
26804,0.455187057,0.0236862984
26805,0.199248072,0.0170365957
26806,0.309030789,0.291903898
26807,0.29609307,0.0380340104
26808,0.222172282,0.086448303
26809,0.359014198,0.773511488
26810,0.315065148,0.0416077224
26811,0.213500875,0.175606452
26812,0.106664796,0.207390405
26813,0.0404575647,0.539558364
26814,0.0441386721,0.0848752601
26815,0.397370804,0.110780528
26816,0.162279856,0.271880117
26817,0.0249659614,0.0463957332
26818,0.428747589,0.0617284631
26819,0.326862871,0.782895723
26820,0.0784217644,0.0813758182
26821,0.356817212,0.0967488054
26822,0.133751941,0.228208246
26823,0.172300301,0.51379638
26824,0.325692248,0.176414413
26825,0.0819993585,0.0591608993
26826,0.0287105367,0.0213723753
26827,0.186213523,0.118145483
26828,0.268092613,0.219591412
26829,0.115981219,0.653005423
26830,0.292822753,0.291158378
26831,0.343710427,0.186509618
26832,0.402937167,0.0811557682
26833,0.235806579,0.182390763
26834,0.116129918,0.306825851
26835,0.0788433045,0.438993596
26836,0.126074903,0.492426352
26837,0.236037624,0.327343638
26838,0.235035928,0.177764233
26839,0.323210635,0.0999755654
26840,0.104947088,0.0279700635
26841,0.0764630083,0.391443843
26842,0.0877404204,0.0308169682
26843,0.287527144,0.0398135144
26844,0.0225988585,0.0528704495
26845,0.442269535,0.169695359
26846,0.630314003,0.141045553
26847,0.192626379,0.180039595
26848,0.032571599,0.110786505
26849,0.298678265,0.0298880597
26850,0.578849098,0.418620164
26851,0.020918938,0.0202138751
26852,0.0205207427,0.0339530877
26853,0.259479384,0.0367385507
26854,0.051584899,0.152269031
26855,0.28324402,0.552916852
26856,0.0365892877,0.559065296
26857,0.0920352681,0.0436220835
26858,0.0924333672,0.0763748091
26859,0.0231893295,0.0288813051
26860,0.707707945,0.0718902576
26861,0.0236053288,0.0336272616
26862,0.0147232731,0.0148212602
26863,0.0511689944,0.171502492
26864,0.290128724,0.217596234
26865,0.011713646,0.0141037454
26866,0.0504195632,0.42484294
26867,0.0383460704,0.138148384
26868,0.530397377,0.559284492
26869,0.0300369226,0.0165248455
26870,0.0788794327,0.248492398
26871,0.0301098717,0.0187587723
26872,0.0693482478,0.0592100375
26873,0.42733231,0.251324976
26874,0.105731558,0.323002048
26875,0.627008412,0.525739248
26876,0.136254631,0.445226914
26877,0.23209001,0.10158884
26878,0.153206016,0.117832822
26879,0.0453109275,0.0488772897
26880,0.029366877,0.0609270405
26881,0.775158005,0.0834489517
26882,0.0332882201,0.0466905486
26883,0.794594782,0.110024748
26884,0.553490227,0.325765372
26885,0.219069894,0.0974529693
26886,0.376563967,0.17230364
26887,0.0357173045,0.271877555
26888,0.53972516,0.309096985
26889,0.212721464,0.0660145112
26890,0.814468996,0.0748411705
26891,0.325593619,0.154485309
26892,0.425814232,0.475026138
26893,0.335432642,0.05794345
26894,0.156229969,0.0612923827
26895,0.292083481,0.122276068
26896,0.114072703,0.0198645426
26897,0.0178157949,0.00675979509
26898,0.539347974,0.0523536674
26899,0.207637848,0.019781412
26900,0.309476297,0.0230753004
26901,0.286017238,0.125081672
26902,0.531034463,0.204962863
26903,0.058626087,0.0461935806
26904,0.0541838061,0.0599738505
26905,0.526910546,0.65863563
26906,0.77359081,0.187552053
26907,0.0319819894,0.148742082
26908,0.0395701324,0.244715532
26909,0.0252966649,0.357134055
26910,0.320517347,0.314688176
26911,0.0320655452,0.200826644
26912,0.269221576,0.318840931
26913,0.145010565,0.174226803
26914,0.261277382,0.0349431622
26915,0.377459105,0.39941298
26916,0.212086834,0.0737118435
26917,0.103871017,0.0921667428
26918,0.563277443,0.0625018971
26919,0.155089103,0.366274891
26920,0.252327382,0.222154001
26921,0.0811118354,0.0422984716
26922,0.600989157,0.546362031
26923,0.0258041614,0.0444857045
26924,0.62094693,0.263077446
26925,0.145325947,0.228034207
26926,0.0881451483,0.421816288
26927,0.823469049,0.743804856
26928,0.0362494051,0.0371286242
26929,0.0836811562,0.0411960085
26930,0.303873621,0.274009027
26931,0.375858771,0.0628473608
26932,0.370440895,0.337035586
26933,0.523655036,0.0805828452
26934,0.421535558,0.622972669
26935,0.233042215,0.22503836
26936,0.132246479,0.2965872
26937,0.407711158,0.104958116
26938,0.070986553,0.133606317
26939,0.0213288389,0.0360796444
26940,0.402838324,0.0622838926
26941,0.109851126,0.0989919864
26942,0.497084898,0.486204588
26943,0.331481096,0.444834684
26944,0.0370463305,0.131100462
26945,0.487048414,0.0602594716
26946,0.308508185,0.186321685
26947,0.456939227,0.0240973575
26948,0.00776250464,0.0299695219
26949,0.0763422815,0.0222515617
26950,0.079313886,0.0502304713
26951,0.515524987,0.12339048
26952,0.362913083,0.547723889
26953,0.0911484011,0.485390879
26954,0.26474819,0.163202556
26955,0.0639698948,0.199953088
26956,0.0688087853,0.030205031
26957,0.55688675,0.148372697
26958,0.496717129,0.108711275
26959,0.383281922,0.0316327102
26960,0.184754801,0.0516079858
26961,0.500699229,0.0412472887
26962,0.0437877453,0.113860639
26963,0.028507089,0.0700332035
26964,0.0318177808,0.0934611121
26965,0.136044604,0.474876556
26966,0.0724571036,0.0277908761
26967,0.047870436,0.070604772
26968,0.636434087,0.238925431
26969,0.235189806,0.297309855
26970,0.68375496,0.909629069
26971,0.244045806,0.155362266
26972,0.039575419,0.419280989
26973,0.095530545,0.0480755442
26974,0.466227296,0.283321633
26975,0.191173684,0.106218651
26976,0.216644617,0.203034412
26977,0.166894025,0.0792591927
26978,0.310653676,0.394710112
26979,0.558290053,0.190661568
26980,0.0184851653,0.0413404633
26981,0.265487083,0.546395005
26982,0.093527881,0.687051318
