respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.0657235325,0.312584255
26708,0.0136741267,0.0136182734
26709,0.395585569,0.711117335
26710,0.881890504,0.965690943
26711,0.475994649,0.475559447
26712,0.695380824,0.98385754
26713,0.394818535,0.572641571
26714,0.30417438,0.262072928
26715,0.0049458115,0.0255016101
26716,0.118436404,0.975306998
26717,0.0103254567,0.215095382
26718,0.347891987,0.765657626
26719,0.0299033458,0.985037123
26720,0.00740905522,0.0702748241
26721,0.172721303,0.195990338
26722,0.0481561619,0.0522416179
26723,0.625871763,0.948496347
26724,0.0400680179,0.860801846
26725,0.0153310927,0.047960101
26726,0.0109458073,0.0216952002
26727,0.548647784,0.950243556
26728,0.279052061,0.728876578
26729,0.0921649717,0.771915337
26730,0.023384246,0.043003897
26731,0.0431537063,0.37061345
26732,0.0775239432,0.1012579
26733,0.946910557,0.986992137
26734,0.620752786,0.242118638
26735,0.0539208344,0.237138799
26736,0.0245934868,0.157640728
26737,0.0578593285,0.145619347
26738,0.940489835,0.964055237
26739,0.2613507,0.427311783
26740,0.172573534,0.167925286
26741,0.0216775379,0.876517543
26742,0.294039895,0.559645049
26743,0.0232998393,0.562103356
26744,0.0228000141,0.780177109
26745,0.0984984221,0.861869199
26746,0.0465376468,0.437334586
26747,0.072426048,0.193843216
26748,0.0179112824,0.0555775441
26749,0.0444564187,0.905045956
26750,0.643776103,0.928939283
26751,0.505439651,0.813586473
26752,0.0422558913,0.0835751031
26753,0.11254339,0.727974795
26754,0.0658895039,0.897943606
26755,0.0613220816,0.442586262
26756,0.00571772215,0.0151399116
26757,0.170190815,0.513143779
26758,0.678639329,0.905443309
26759,0.0147739391,0.121340091
26760,0.0186170637,0.018683753
26761,0.538309594,0.642099512
26762,0.167042021,0.957510184
26763,0.893742112,0.976377211
26764,0.985822755,0.993636967
26765,0.0296893504,0.796646909
26766,0.0859568992,0.216921518
26767,0.945195957,0.880399472
26768,0.0055964455,0.26380724
26769,0.0292602959,0.135371009
26770,0.125730569,0.556146359
26771,0.0241290853,0.0939683658
26772,0.0592417199,0.524238162
26773,0.0176722828,0.35520978
26774,0.00522452353,0.153649696
26775,0.0264179019,0.376030321
26776,0.504052283,0.291822453
26777,0.0880424847,0.963000298
26778,0.0188059816,0.00797422125
26779,0.223990073,0.897996862
26780,0.0195238077,0.893049074
26781,0.0199160922,0.293984313
26782,0.0306017261,0.29116576
26783,0.178440381,0.359560661
26784,0.512225794,0.987250292
26785,0.376700975,0.861541728
26786,0.0899195274,0.378868888
26787,0.0241059844,0.670925046
26788,0.00997480128,0.984337784
26789,0.0273769016,0.324721477
26790,0.00863398479,0.075994494
26791,0.0711531637,0.0924386973
26792,0.0789186212,0.687258959
26793,0.0967425986,0.949634807
26794,0.934231651,0.977852599
26795,0.107071387,0.978670762
26796,0.00764241177,0.023262659
26797,0.26144839,0.874247544
26798,0.218799956,0.347722351
26799,0.194110718,0.328200915
26800,0.0243397553,0.966821368
26801,0.0545109312,0.0682034041
26802,0.159240326,0.260140685
26803,0.0240189216,0.196521278
26804,0.0105710438,0.0157435657
26805,0.0633947681,0.0371073372
26806,0.0043042592,0.954875464
26807,0.48397936,0.94240921
26808,0.0241533283,0.340622171
26809,0.658191333,0.200234024
26810,0.013608049,0.0666306446
26811,0.00822608859,0.082519083
26812,0.76345357,0.960644644
26813,0.649842599,0.656792788
26814,0.0103955418,0.674214537
26815,0.00512945589,0.0398844437
26816,0.0177906087,0.0537293551
26817,0.0669280998,0.574820071
26818,0.116641714,0.437673503
26819,0.0504201592,0.0610355873
26820,0.0223705107,0.0800254879
26821,0.0238097085,0.492883021
26822,0.0520569069,0.48790573
26823,0.416557084,0.648706363
26824,0.012426065,0.880724118
26825,0.391022566,0.870834536
26826,0.188838641,0.846697819
26827,0.0211433314,0.0591614024
26828,0.214867063,0.833153792
26829,0.714783798,0.928171485
26830,0.00202988833,0.982374914
26831,0.0555519653,0.970440991
26832,0.0717747414,0.958671451
26833,0.0121898493,0.670424887
26834,0.104720227,0.250344963
26835,0.838538858,0.945670797
26836,0.277985073,0.572702593
26837,0.0223462442,0.0130525691
26838,0.165930974,0.573908293
26839,0.308346346,0.602625257
26840,0.0665762609,0.110660361
26841,0.461516686,0.895923039
26842,0.0636589482,0.146738119
26843,0.0240977762,0.0371106529
26844,0.0198375163,0.172213273
26845,0.0799816476,0.914765544
26846,0.0551093268,0.881510961
26847,0.347327558,0.167013971
26848,0.0190104072,0.279386135
26849,0.473155877,0.610108942
26850,0.548118233,0.619638544
26851,0.0790584667,0.175015907
26852,0.0299671554,0.0612227279
26853,0.759316855,0.857811374
26854,0.0089648104,0.026512922
26855,0.178400039,0.901116568
26856,0.00585733614,0.00637391938
26857,0.681910876,0.220263038
26858,0.271148159,0.801905563
26859,0.0108870278,0.0413502094
26860,0.0496583605,0.0796896606
26861,0.0109963763,0.0239640641
26862,0.027653266,0.316596691
26863,0.0230403423,0.248202622
26864,0.257450282,0.315544576
26865,0.0322491719,0.0587429393
26866,0.0554937632,0.665902183
26867,0.244773762,0.286387612
26868,0.910982422,0.992686132
26869,0.0189730635,0.0576884962
26870,0.677180064,0.960056594
26871,0.0154150226,0.0322255093
26872,0.0306621282,0.137386125
26873,0.0237788953,0.888904943
26874,0.0252346368,0.0514800006
26875,0.182070909,0.887259726
26876,0.0361039339,0.0334014072
