respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.0477229646,0.151831548
26708,0.0343760645,0.0282552921
26709,0.707819992,0.88350376
26710,0.570797748,0.77831554
26711,0.308930068,0.347758023
26712,0.840385893,0.969858728
26713,0.168036861,0.456873457
26714,0.0626347686,0.0893222521
26715,0.0072059682,0.0352137082
26716,0.0403891629,0.838169367
26717,0.0438772275,0.572586983
26718,0.243658893,0.405598685
26719,0.0521666946,0.967598327
26720,0.0222482066,0.173915904
26721,0.394507044,0.529707711
26722,0.00933065989,0.0293864253
26723,0.514560431,0.930498842
26724,0.0225361557,0.943330067
26725,0.021847582,0.0280193876
26726,0.0416478093,0.0411148452
26727,0.336640354,0.847010353
26728,0.131386905,0.520611319
26729,0.0856555532,0.314810384
26730,0.0152490686,0.0464169961
26731,0.0185793782,0.177318554
26732,0.0424056329,0.047547513
26733,0.949701042,0.950983055
26734,0.522815857,0.200175808
26735,0.0303043842,0.186572571
26736,0.0203200405,0.0954927598
26737,0.0369488024,0.0976540018
26738,0.862038568,0.896345019
26739,0.0356063855,0.133566296
26740,0.0577171532,0.0383025905
26741,0.140747966,0.935249895
26742,0.0946907183,0.433155766
26743,0.019207638,0.402773482
26744,0.0815751015,0.73389721
26745,0.149533706,0.811156207
26746,0.549018246,0.795461659
26747,0.0555847767,0.124537435
26748,0.0793876715,0.234081623
26749,0.0364183484,0.594567338
26750,0.426469117,0.871805235
26751,0.403996301,0.687743244
26752,0.00900575489,0.0392980508
26753,0.0776650073,0.341088551
26754,0.137351757,0.636974072
26755,0.132621669,0.31230416
26756,0.00269304497,0.0123432051
26757,0.227025712,0.714043461
26758,0.732195838,0.904914945
26759,0.0154955347,0.0704784086
26760,0.0115294626,0.0228316199
26761,0.244158075,0.502012506
26762,0.0876886699,0.942972664
26763,0.760975724,0.967692031
26764,0.948486185,0.981950546
26765,0.0541657476,0.825910229
26766,0.0692227564,0.109418857
26767,0.882484225,0.629897458
26768,0.0275396421,0.237567504
26769,0.175118396,0.189488466
26770,0.0847342126,0.381685329
26771,0.0324685465,0.215772049
26772,0.0436974757,0.514681716
26773,0.00602271158,0.156756734
26774,0.0298555005,0.476622416
26775,0.0374492023,0.506867163
26776,0.374621671,0.147958394
26777,0.0468816456,0.866719402
26778,0.0397777277,0.0414596092
26779,0.0677967935,0.757229706
26780,0.0815076472,0.974136429
26781,0.271362256,0.360243268
26782,0.0109281463,0.287933347
26783,0.0736744185,0.209428357
26784,0.385750736,0.900587542
