respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.068674924,0.243352814
26708,0.023874923,0.0224028438
26709,0.250497224,0.827369259
26710,0.789210361,0.871388004
26711,0.316365816,0.333959016
26712,0.92343112,0.991846906
26713,0.182632733,0.51853659
26714,0.191029012,0.157671687
26715,0.0241483024,0.0717243271
26716,0.252715054,0.939944763
26717,0.0122475424,0.500302347
26718,0.369688095,0.529977367
26719,0.0250715213,0.981500155
26720,0.0216347077,0.206633351
26721,0.445521748,0.540507747
26722,0.041592119,0.0831825568
26723,0.838497003,0.936641595
26724,0.0346189103,0.783516135
26725,0.00211412907,0.0135532684
26726,0.0542157997,0.0823946061
26727,0.407286424,0.959009655
26728,0.20115482,0.594160786
26729,0.0980096938,0.590948914
26730,0.0216174613,0.0878108915
26731,0.032478269,0.246209856
26732,0.0542087391,0.06379045
26733,0.982726833,0.977576277
26734,0.470460185,0.400304458
26735,0.0761393832,0.388069554
26736,0.0459675951,0.139350143
26737,0.0357750155,0.0868883722
26738,0.956172876,0.966787265
26739,0.0671291796,0.22499737
26740,0.0554858267,0.0928799678
26741,0.0423510946,0.932461184
26742,0.124005999,0.387363604
26743,0.0361601818,0.522945534
26744,0.0413917348,0.674040637
26745,0.0198717811,0.922754123
26746,0.118018473,0.279481996
26747,0.0532983187,0.120612779
26748,0.0990518461,0.0976549905
26749,0.0515973123,0.751441541
26750,0.485356651,0.857046836
26751,0.534005302,0.750233963
26752,0.0558406596,0.052197622
26753,0.364409216,0.659938303
26754,0.0990669121,0.624677494
26755,0.13771035,0.5251201
26756,0.00475058787,0.00999486021
26757,0.128316996,0.53254725
26758,0.748012715,0.933630015
26759,0.0155694053,0.141364402
26760,0.0245949909,0.0168985458
26761,0.586986532,0.758599114
26762,0.142374199,0.945081543
26763,0.939237453,0.976540389
26764,0.992817272,0.996447513
26765,0.0431695588,0.788146677
26766,0.0685967226,0.129633325
26767,0.868322039,0.635316639
26768,0.0143022344,0.25472606
26769,0.0890605967,0.13966592
26770,0.0321446762,0.479459935
26771,0.0148476552,0.162068143
26772,0.0671263339,0.484185459
26773,0.0166703178,0.204316442
26774,0.0305013019,0.313624357
26775,0.0201094577,0.446495787
26776,0.479116029,0.312646242
26777,0.0924395985,0.889819925
26778,0.0512195162,0.0306473489
26779,0.179168031,0.708758488
26780,0.0267955456,0.962747148
26781,0.068267823,0.298545143
26782,0.0412206654,0.479317355
26783,0.0124795291,0.211456566
26784,0.128254868,0.712189773
26785,0.432420986,0.747740721
26786,0.0351925095,0.298480984
26787,0.0295377871,0.581817845
26788,0.00713689264,0.949481477
26789,0.0238266724,0.250096476
26790,0.0135799523,0.211443081
26791,0.0412735776,0.0452555927
26792,0.0512231131,0.761522846
26793,0.113966908,0.968383991
26794,0.650403988,0.849524246
26795,0.0605945879,0.9703855
26796,0.00791495496,0.0253760199
26797,0.22124267,0.713492297
26798,0.25203449,0.316360046
26799,0.326556499,0.451100073
26800,0.0278821556,0.945516455
26801,0.169066475,0.357881695
26802,0.0760860247,0.117194845
26803,0.0275768417,0.181394224
26804,0.0332977347,0.0255196243
26805,0.0341535926,0.0334407592
26806,0.00976844645,0.962185293
26807,0.434413761,0.86332865
26808,0.0427096402,0.354776103
26809,0.479747648,0.211116493
26810,0.0119713543,0.156983901
26811,0.0155276391,0.0697653572
26812,0.591676374,0.922519255
26813,0.481946798,0.538787989
26814,0.00923698876,0.708991816
26815,0.00330843973,0.0252313872
26816,0.0542339936,0.177172551
26817,0.0143523756,0.270025991
26818,0.164353465,0.369870618
26819,0.155810225,0.128077963
26820,0.0642066504,0.163661767
26821,0.040221933,0.615094235
26822,0.0471041112,0.78377511
26823,0.247448314,0.340085561
26824,0.0282213416,0.638580487
26825,0.580345707,0.731219839
26826,0.0330417949,0.7362839
26827,0.0126280497,0.141277707
26828,0.0847426248,0.333718435
26829,0.913911537,0.970478319
26830,0.0361966094,0.763447574
26831,0.105535333,0.921114406
26832,0.00923593118,0.845171275
26833,0.00582373631,0.781481015
26834,0.0756613061,0.254138665
26835,0.184200331,0.779105955
26836,0.441187753,0.689996197
26837,0.0234361165,0.009220309
26838,0.0725915853,0.419776648
26839,0.0568406631,0.350757012
26840,0.0355721191,0.0483520135
26841,0.648361417,0.885754655
26842,0.0798926708,0.199877498
26843,0.0188764166,0.0218851552
26844,0.0317821093,0.178379488
26845,0.0254302587,0.849009175
26846,0.0368962262,0.925784523
26847,0.686386725,0.200708741
26848,0.01286785,0.700552126
26849,0.437691424,0.60449227
26850,0.69732469,0.766521449
26851,0.0158835241,0.0245028052
26852,0.0124178658,0.0518119525
26853,0.186854294,0.321481081
26854,0.0150680505,0.0326264801
26855,0.157021254,0.898382742
26856,0.0455604047,0.0157675746
26857,0.596885315,0.244862141
26858,0.0775680432,0.506251168
